word,pronunciation,difficulty,definition,sentence
aardwolf,ard-wulf,medium,a nocturnal African mammal related to hyenas that feeds on termites,The aardwolf emerged at dusk to hunt insects.
abience,ab-ee-ens,hard,a tendency to move away from a stimulus,The moth showed abience toward the bright light.
abstemious,ab-stee-mee-us,hard,moderate or restrained in eating and drinking,She was abstemious during the holidays.
abstruse,ab-stroos,medium,difficult to understand or obscure,The lecture was abstruse and confusing.
abyssal,uh-bis-uhl,medium,relating to the deepest parts of the ocean,Abyssal creatures live in total darkness.
academe,ak-uh-deem,medium,the academic world or community of scholars,He devoted his life to academe.
academia,ak-uh-dee-mee-uh,medium,the world of higher education and research,She pursued a career in academia.
acanthus,uh-kan-thus,medium,a plant with spiny leaves used in classical ornamentation,Acanthus leaves decorate the column.
acceded,ak-see-did,medium,agreed to a request or took office,She acceded to the request after much debate.
acculturation,uh-kul-chuh-ray-shun,hard,the process of adopting the cultural traits of another group,Acculturation occurs among immigrants.
acetic,uh-see-tik,easy,relating to vinegar or acetic acid,The acetic smell was strong in the kitchen.
acme,ak-mee,easy,the highest point or peak of achievement,Winning the prize was the acme of her career.
acoustics,uh-koo-stiks,medium,the science of sound and how it behaves,The acoustics in the hall were excellent.
actinide,ak-tih-nide,hard,any of a series of radioactive chemical elements,Plutonium is an actinide element.
aculeate,uh-kyoo-lee-ate,hard,having a sharp point or sting,The aculeate insect stung him painfully.
adjoining,uh-joy-ning,medium,next to or sharing a boundary,The adjoining room was quiet.
adjudication,uh-joo-dih-kay-shun,hard,the legal process of judging a case,The case went to adjudication.
admonish,ad-mon-ish,medium,to warn or reprimand gently,The teacher admonished the class for talking.
adolescence,ad-uh-les-ens,medium,the period of life between childhood and adulthood,Adolescence is a time of many changes.
aeroplankton,air-oh-plank-tun,hard,tiny organisms floating in the air,Scientists study aeroplankton in the atmosphere.
affiliate,uh-fil-ee-ate,medium,to associate or connect officially,The club is an affiliate of the national organization.
affrighted,uh-fry-tid,hard,frightened or terrified,The villagers were affrighted by the storm.
agglomerate,uh-glom-uh-rate,hard,to collect or cluster together,Particles agglomerate in the filter.
agglutinate,uh-gloo-tuh-nate,hard,to stick or glue together,The cells agglutinate in the test.
aggrandizement,uh-gran-dize-ment,hard,increase in power or status,He sought aggrandizement through politics.
anabasis,uh-nab-uh-sis,hard,a military advance or expedition,The general's anabasis was legendary.
anachronism,uh-nak-ruh-niz-um,medium,something out of its proper time period,The castle in the modern city is an anachronism.
ananym,an-uh-nim,hard,a word or name spelled backward,Ananym is a type of wordplay.
ancestor,an-ses-tur,easy,a person from whom one is descended,My ancestor came from Ireland.
anemology,an-uh-mol-uh-jee,hard,the study of winds,Anemology helps predict weather patterns.
angstrom,ang-strum,medium,a unit of length used in physics,The wavelength is measured in angstroms.
annulet,an-yuh-let,medium,a small ring or circle,The annulet decorated the shield.
anon,uh-non,easy,soon or shortly,We shall see you anon.
antagonist,an-tag-uh-nist,medium,a person who opposes another,The antagonist in the story was clever.
anthology,an-thol-uh-jee,medium,a collection of literary works,The anthology includes classic poems.
anthropogenic,an-throh-puh-jen-ik,hard,caused by human activity,Many climate changes are anthropogenic.
aoristic,ay-uh-ris-tik,hard,relating to a past tense without duration,The aoristic tense is used in Greek.
apathy,ap-uh-thee,medium,lack of interest or emotion,His apathy worried his friends.
aphasia,uh-fay-zhuh,hard,loss of ability to speak or understand language,Aphasia can result from a stroke.
apostate,uh-pos-tate,medium,a person who abandons their beliefs,The apostate left the church.
aquarellist,ak-wuh-rel-ist,hard,a painter who uses watercolors,The aquarellist created beautiful landscapes.
aqueduct,ak-wuh-dukt,medium,a channel for carrying water,The Roman aqueduct still stands.
arabesque,ar-uh-besk,medium,ornate design with intertwined patterns,The carpet had an arabesque pattern.
arability,ar-uh-bil-uh-tee,hard,quality of being suitable for plowing,The soil's arability was excellent.
arbacia,ar-bay-shuh,hard,a type of sea urchin,Arbacia is common in coastal waters.
arbuscle,ar-bus-uhl,hard,a small tree or shrub,The arbuscle grew near the path.
archangel,ahrk-ayn-juhl,medium,a chief angel in religious texts,The archangel appeared in the vision.
architecture,ahr-ki-tek-cher,medium,the art and science of designing buildings,She studied architecture at university.
arcing,ahr-king,medium,forming an electric arc,The wires were arcing dangerously.
argonaut,ahr-guh-not,medium,a legendary adventurer,The argonauts sailed with Jason.
armaments,ahr-muh-munts,medium,military weapons and equipment,The country increased its armaments.
arraign,uh-rayn,medium,to bring before a court to answer charges,The suspect was arraigned.
badinage,bad-uh-nij,medium,playful teasing or banter,Their badinage amused everyone.
balanoid,bal-uh-noyd,hard,acorn-shaped,The balanoid structure was unusual.
balustrade,bal-uh-strayd,medium,a row of small pillars supporting a rail,The balcony had a stone balustrade.
barometrograph,bar-uh-met-ruh-graf,hard,an instrument recording atmospheric pressure,The barometrograph tracked the storm.
barophilic,bar-oh-fil-ik,hard,thriving under high pressure,Barophilic bacteria live in deep oceans.
baroque,buh-rohk,medium,highly ornate style of art and music,The church had baroque decorations.
barricade,bar-uh-kayd,medium,a barrier blocking a passage,They built a barricade on the street.
barrio,bah-ree-oh,easy,a Spanish-speaking neighborhood,He grew up in the barrio.
basilisk,bas-uh-lisk,medium,a legendary serpent with deadly gaze,The basilisk turned people to stone.
bastion,bas-chun,medium,a fortified place or stronghold,The castle was a bastion of defense.
bathyal,bath-ee-uhl,medium,relating to the deep sea zone,Bathyal creatures are adapted to darkness.
bathybic,buh-thib-ik,hard,relating to deep-sea life,Bathybic organisms survive high pressure.
bayonet,bay-uh-net,medium,a blade attached to a rifle,The soldier fixed his bayonet.
bayou,by-oo,easy,a slow-moving marshy waterway,Alligators live in the bayou.
beauteous,byoo-tee-us,medium,beautiful or lovely,The beauteous sunset amazed us.
Beethovenian,bay-toh-vee-nee-un,hard,relating to the composer Beethoven,The music had a Beethovenian style.
bellicosely,bel-ih-kohs-lee,hard,in a warlike manner,He spoke bellicosely about the conflict.
benedictory,ben-uh-dik-tuh-ree,hard,expressing good wishes,The benedictory speech closed the event.
beneficiate,ben-uh-fish-ee-ate,hard,to process ore to improve quality,They beneficiate the ore before smelting.
benevolence,buh-nev-uh-lens,medium,kindness and generosity,Her benevolence helped many people.
benign,buh-nyn,easy,gentle or harmless,The tumor was benign.
bequeath,bih-kweeth,medium,to leave property in a will,He bequeathed his estate to charity.
bioluminescent,by-oh-loo-muh-nes-unt,hard,producing light by chemical reaction,The bioluminescent jellyfish glowed brightly.
blouson,bloo-son,medium,a type of loose blouse,She wore a stylish blouson top.
bolivar,bol-uh-vahr,medium,a former currency of Venezuela,He exchanged money for bolivar.
bollard,bol-erd,medium,a short post used to secure ropes,The ship was tied to the bollard.
Bolshevik,bohl-shuh-vik,medium,a member of the Russian revolutionary party,The Bolsheviks led the revolution.
aggregate,ag-ri-gayt,medium,to collect or gather together,The data was aggregated for analysis.
agrarianism,uh-grair-ee-uh-niz-um,hard,belief in the importance of farming,He supported agrarianism policies.
agronomy,uh-gron-uh-mee,medium,the science of soil and crop production,Agronomy helps improve yields.
aldosterone,al-dos-tuh-rohn,hard,a hormone regulating salt balance,Aldosterone affects blood pressure.
algid,al-jid,easy,cold or chilly,The algid wind made him shiver.
alkane,al-kayn,easy,a type of hydrocarbon,Alkane fuels are common.
allegro,uh-leg-roh,medium,a fast musical tempo,The piece was played allegro.
allonym,al-uh-nim,medium,a name assumed by an author,He published under an allonym.
allopelagic,al-oh-puh-laj-ik,hard,living in the open ocean,Allopelagic species migrate long distances.
alpaca,al-pak-uh,easy,a domesticated South American animal,The farmer raised alpaca for wool.
altocumulus,al-toh-kyoo-myuh-lus,hard,a type of mid-level cloud,Altocumulus clouds signaled rain.
alveolar,al-vee-uh-lur,medium,relating to the tooth sockets,Alveolar sounds are common in speech.
amalgam,uh-mal-gum,medium,a mixture or blend,The alloy was an amalgam of metals.
amandine,ah-mahn-deen,medium,garnished with almonds,The fish was prepared amandine.
ameliorate,uh-meel-yuh-rate,hard,to make better or improve,They worked to ameliorate living conditions.
amine,uh-meen,easy,an organic compound with nitrogen,Amine compounds are important in chemistry.
ammoniacal,am-uh-ny-uh-kul,hard,relating to ammonia,The solution was ammoniacal.
arraignment,uh-rayn-munt,hard,the act of bringing a charge in court,The arraignment was scheduled for Monday.
arsenic,ahr-suh-nik,medium,a toxic chemical element,Arsenic is poisonous.
artichoke,ahr-tuh-chohk,medium,a thistle-like vegetable,We ate steamed artichoke hearts.
asphyxiation,as-fik-see-ay-shun,hard,death from lack of oxygen,Asphyxiation can occur in confined spaces.
assurgent,uh-sur-junt,medium,rising up or ascending,The assurgent flames grew higher.
astigmatism,uh-stig-muh-tiz-um,hard,an eye defect causing blurred vision,He wore glasses for astigmatism.
astuteness,uh-stoot-nes,hard,shrewdness or cleverness,Her astuteness helped in negotiations.
asynchrony,ay-sing-kruh-nee,hard,lack of synchronization,Asynchrony caused problems in the system.
atmogenic,at-moh-jen-ik,medium,produced by the atmosphere,Atmogenic processes shape weather.
atrocity,uh-tros-uh-tee,medium,an extremely cruel act,The war included many atrocities.
attenuate,uh-ten-yoo-ate,medium,to make thinner or weaker,The signal was attenuated over distance.
aureate,awr-ee-ate,medium,golden or gilded,The aureate decoration shone brightly.
autistic,aw-tis-tik,medium,relating to autism spectrum disorder,The autistic child loved patterns.
autonomous,aw-ton-uh-mus,hard,having self-government or independence,The robot was fully autonomous.
azalea,uh-zayl-yuh,easy,a type of flowering shrub,The garden was full of azalea blooms.
